words,Class 0,Class 1
00,10.634388023957865,8.124032077764237
000,10.634388023957865,7.025419789096127
000pes,9.94124084339792,9.733469990198335
008704050406,10.634388023957865,8.634857701530228
0089,10.634388023957865,9.040322809638392
01223585236,10.634388023957865,9.040322809638392
01223585334,10.634388023957865,9.040322809638392
02,10.634388023957865,8.347175629078446
0207,10.634388023957865,8.634857701530228
02073162414,10.634388023957865,9.040322809638392
03,10.634388023957865,7.787559841143024
04,10.634388023957865,7.941710520970282
05,10.634388023957865,8.634857701530228
0578,10.634388023957865,9.040322809638392
06,10.634388023957865,8.634857701530228
07,10.634388023957865,9.040322809638392
07008009200,10.634388023957865,9.040322809638392
07046744435,10.634388023957865,9.040322809638392
07090298926,10.634388023957865,9.040322809638392
07123456789,10.634388023957865,9.040322809638392
0721072,10.634388023957865,9.040322809638392
07734396839,10.634388023957865,9.040322809638392
07742676969,10.634388023957865,8.634857701530228
07753741225,10.634388023957865,9.040322809638392
0776xxxxxxx,10.634388023957865,9.040322809638392
07781482378,10.634388023957865,9.040322809638392
07786200117,10.634388023957865,9.040322809638392
07815296484,10.634388023957865,9.040322809638392
07821230901,10.634388023957865,8.634857701530228
07880867867,10.634388023957865,9.040322809638392
0789xxxxxxx,10.634388023957865,9.040322809638392
07946746291,10.634388023957865,9.040322809638392
0796xxxxxx,10.634388023957865,9.040322809638392
07xxxxxxxxx,10.634388023957865,8.634857701530228
08,10.634388023957865,9.040322809638392
0800,10.634388023957865,8.124032077764237
08000407165,10.634388023957865,8.634857701530228
08000776320,10.634388023957865,8.634857701530228
08000839402,10.634388023957865,7.168520632736801
08000930705,10.634388023957865,7.787559841143024
08000938767,10.634388023957865,8.347175629078446
08001950382,10.634388023957865,8.124032077764237
08002888812,10.634388023957865,9.040322809638392
08002986030,10.634388023957865,8.634857701530228
08002986906,10.634388023957865,8.124032077764237
08006344447,10.634388023957865,9.040322809638392
0808,10.634388023957865,8.347175629078446
08081263000,10.634388023957865,9.040322809638392
08081560665,10.634388023957865,9.040322809638392
0825,10.634388023957865,9.040322809638392
0844,10.634388023957865,9.040322809638392
0845,10.634388023957865,9.040322809638392
08452810071,10.634388023957865,9.040322809638392
08452810073,10.634388023957865,8.634857701530228
08452810075over18,10.634388023957865,8.634857701530228
0870,10.634388023957865,7.787559841143024
08700621170150p,10.634388023957865,9.040322809638392
08701213186,10.634388023957865,9.040322809638392
08701237397,10.634388023957865,9.040322809638392
08701417012,10.634388023957865,8.634857701530228
08701417012150p,10.634388023957865,8.634857701530228
087016248,10.634388023957865,9.040322809638392
08701752560,10.634388023957865,9.040322809638392
087018728737,10.634388023957865,9.040322809638392
0870241182716,10.634388023957865,8.634857701530228
08702840625,10.634388023957865,8.347175629078446
08704050406,10.634388023957865,9.040322809638392
08704439680,10.634388023957865,9.040322809638392
08704439680ts,10.634388023957865,9.040322809638392
08706091795,10.634388023957865,9.040322809638392
0870737910216yrs,10.634388023957865,9.040322809638392
08707509020,10.634388023957865,7.941710520970282
0870753331018,10.634388023957865,9.040322809638392
08708034412,10.634388023957865,9.040322809638392
08708800282,10.634388023957865,9.040322809638392
08709222922,10.634388023957865,9.040322809638392
08709501522,10.634388023957865,9.040322809638392
0871,10.634388023957865,9.040322809638392
087104711148,10.634388023957865,9.040322809638392
08712101358,10.634388023957865,8.634857701530228
08712103738,10.634388023957865,9.040322809638392
0871212025016,10.634388023957865,9.040322809638392
08712300220,10.634388023957865,8.124032077764237
087123002209am,10.634388023957865,9.040322809638392
08712317606,10.634388023957865,9.040322809638392
08712400602450p,10.634388023957865,9.040322809638392
08712402578,10.634388023957865,9.040322809638392
08712402779,10.634388023957865,9.040322809638392
08712402972,10.634388023957865,9.040322809638392
08712405020,10.634388023957865,8.347175629078446
08712405022,10.634388023957865,8.634857701530228
08712460324,10.634388023957865,7.941710520970282
08712466669,10.634388023957865,9.040322809638392
0871277810810,10.634388023957865,8.634857701530228
0871277810910p,10.634388023957865,9.040322809638392
08714342399,10.634388023957865,9.040322809638392
08714712388,10.634388023957865,9.040322809638392
08714712412,10.634388023957865,9.040322809638392
08714714011,10.634388023957865,9.040322809638392
08715203656,10.634388023957865,9.040322809638392
08715203677,10.634388023957865,9.040322809638392
08715203694,10.634388023957865,9.040322809638392
08715705022,10.634388023957865,8.634857701530228
08717111821,10.634388023957865,9.040322809638392
08717168528,10.634388023957865,9.040322809638392
08717205546,10.634388023957865,9.040322809638392
0871750,10.634388023957865,8.634857701530228
08718720201,10.634388023957865,7.787559841143024
08718723815,10.634388023957865,9.040322809638392
08718726270,10.634388023957865,9.040322809638392
087187262701,10.634388023957865,8.347175629078446
08718726970,10.634388023957865,9.040322809638392
08718726971,10.634388023957865,9.040322809638392
087187272008,10.634388023957865,9.040322809638392
08718727870,10.634388023957865,8.347175629078446
08718730555,10.634388023957865,9.040322809638392
08718730666,10.634388023957865,8.634857701530228
08718738001,10.634388023957865,9.040322809638392
08719180248,10.634388023957865,8.634857701530228
08719181259,10.634388023957865,9.040322809638392
08719181513,10.634388023957865,9.040322809638392
08719839835,10.634388023957865,9.040322809638392
08719899230,10.634388023957865,9.040322809638392
09,10.634388023957865,9.040322809638392
09041940223,10.634388023957865,9.040322809638392
09050000555,10.634388023957865,9.040322809638392
09050000878,10.634388023957865,9.040322809638392
09050001808,10.634388023957865,9.040322809638392
09050003091,10.634388023957865,8.634857701530228
09050005321,10.634388023957865,9.040322809638392
09050090044,10.634388023957865,8.347175629078446
09050280520,10.634388023957865,9.040322809638392
09056242159,10.634388023957865,8.634857701530228
