,Class 0,Class 1
09077818151,-10.769516037258176,-9.140293373664148
09090204448,-10.769516037258176,-9.140293373664148
09090900040,-10.769516037258176,-9.140293373664148
09094646631,-10.769516037258176,-9.140293373664148
09094646899,-10.769516037258176,-9.140293373664148
09095350301,-10.769516037258176,-9.140293373664148
09099725823,-10.769516037258176,-9.140293373664148
09099726395,-10.769516037258176,-9.140293373664148
09099726481,-10.769516037258176,-9.140293373664148
09701213186,-10.769516037258176,-9.140293373664148
10,-8.823605888202863,-7.0002272101678775
100,-10.076368856698231,-6.742398100865778
1000,-10.769516037258176,-6.575344016202612
1000call,-10.769516037258176,-9.140293373664148
1000s,-10.076368856698231,-8.734828265555985
100p,-10.769516037258176,-9.140293373664148
100percent,-10.769516037258176,-8.734828265555985
100txt,-10.769516037258176,-9.140293373664148
1030,-10.076368856698231,-9.833440554224094
10h,-10.769516037258176,-8.734828265555985
10h10,-10.076368856698231,-9.833440554224094
10h30,-10.076368856698231,-9.833440554224094
10k,-10.769516037258176,-8.734828265555985
10p,-10.769516037258176,-6.943068796327929
10ppm,-10.769516037258176,-8.734828265555985
10th,-10.769516037258176,-9.140293373664148
11,-10.076368856698231,-8.447146193104203
114,-10.769516037258176,-9.140293373664148
1146,-10.769516037258176,-9.140293373664148
116,-10.076368856698231,-9.833440554224094
118p,-10.769516037258176,-9.140293373664148
11h,-10.769516037258176,-8.734828265555985
11h48,-10.076368856698231,-9.833440554224094
11mths,-10.769516037258176,-7.88753040516878
12,-8.977756568030122,-7.88753040516878
121,-10.769516037258176,-8.734828265555985
125,-10.769516037258176,-8.447146193104203
1250,-10.769516037258176,-9.140293373664148
128,-10.076368856698231,-9.833440554224094
12h,-10.769516037258176,-8.734828265555985
12heures,-10.769516037258176,-9.140293373664148
12hrs,-10.769516037258176,-8.04168108499604
12hs,-10.769516037258176,-8.447146193104203
12mths,-10.769516037258176,-8.734828265555985
13,-10.769516037258176,-8.734828265555985
130,-10.076368856698231,-9.833440554224094
1327,-10.769516037258176,-8.447146193104203
139,-10.769516037258176,-9.140293373664148
13h,-10.076368856698231,-9.833440554224094
14,-10.769516037258176,-9.140293373664148
140,-10.076368856698231,-9.833440554224094
1405,-10.076368856698231,-9.833440554224094
140ppm,-10.769516037258176,-9.140293373664148
145,-10.769516037258176,-8.734828265555985
1450,-10.769516037258176,-9.140293373664148
14h,-10.076368856698231,-9.833440554224094
15,-9.383221676138286,-9.833440554224094
150,-10.769516037258176,-7.060851831984312
1500,-10.769516037258176,-8.447146193104203
150p,-10.769516037258176,-6.095770935940726
150p16,-10.769516037258176,-9.140293373664148
150pm,-10.769516037258176,-8.224002641789994
150ppermessabonnement,-10.769516037258176,-8.734828265555985
150ppm,-10.769516037258176,-6.575344016202612
150ppmpobox10183bhamb64xe,-10.769516037258176,-9.140293373664148
150pw,-10.769516037258176,-9.140293373664148
151,-10.769516037258176,-9.140293373664148
153,-10.769516037258176,-9.140293373664148
16,-9.670903748590067,-6.119868487519786
1680,-10.076368856698231,-9.833440554224094
177,-10.769516037258176,-8.734828265555985
17h,-9.670903748590067,-9.833440554224094
17h15,-10.076368856698231,-9.833440554224094
18,-9.670903748590067,-6.575344016202612
180,-10.076368856698231,-9.833440554224094
1843,-10.076368856698231,-9.833440554224094
18ans,-10.769516037258176,-9.140293373664148
18h,-9.670903748590067,-9.833440554224094
18p,-10.769516037258176,-9.140293373664148
19,-10.076368856698231,-9.833440554224094
195,-10.769516037258176,-9.140293373664148
1956669,-10.769516037258176,-9.140293373664148
19h,-10.076368856698231,-8.734828265555985
19pm,-10.769516037258176,-9.140293373664148
1er,-9.383221676138286,-7.88753040516878
1mega,-10.076368856698231,-9.833440554224094
1million,-10.769516037258176,-9.140293373664148
1st,-9.670903748590067,-8.447146193104203
1stone,-10.076368856698231,-9.833440554224094
1thing,-10.076368856698231,-9.833440554224094
1winaweek,-10.769516037258176,-8.734828265555985
1winawk,-10.769516037258176,-9.140293373664148
1x150p,-10.769516037258176,-8.447146193104203
1yf,-10.769516037258176,-9.140293373664148
1ère,-10.769516037258176,-7.636215976887874
20,-9.160078124824077,-8.224002641789994
200,-10.769516037258176,-7.88753040516878
2000,-10.076368856698231,-7.0002272101678775
2003,-10.769516037258176,-8.04168108499604
2004,-10.769516037258176,-8.04168108499604
2005,-10.769516037258176,-9.140293373664148
2006,-10.769516037258176,-9.140293373664148
2007,-10.769516037258176,-8.734828265555985
200p,-10.769516037258176,-9.140293373664148
20m12aq,-10.769516037258176,-9.140293373664148
20p,-10.769516037258176,-8.04168108499604
21,-10.076368856698231,-9.140293373664148
21870000,-10.769516037258176,-9.140293373664148
21e,-10.076368856698231,-9.833440554224094
22,-10.769516037258176,-9.140293373664148
220,-10.769516037258176,-8.734828265555985
220cm2,-10.769516037258176,-9.140293373664148
2309,-10.769516037258176,-9.140293373664148
23f,-10.769516037258176,-9.140293373664148
23g,-10.769516037258176,-9.140293373664148
24,-10.076368856698231,-8.224002641789994
24m,-10.769516037258176,-9.140293373664148
25,-9.670903748590067,-8.224002641789994
250,-10.769516037258176,-7.530855461230048
250k,-10.769516037258176,-9.140293373664148
255,-10.076368856698231,-9.833440554224094
25p,-10.769516037258176,-8.04168108499604
26,-9.670903748590067,-8.734828265555985
2667,-10.769516037258176,-9.140293373664148
27,-10.769516037258176,-9.140293373664148
28,-10.769516037258176,-8.04168108499604
2814032,-10.769516037258176,-9.140293373664148
28jours,-10.769516037258176,-9.140293373664148
29,-10.769516037258176,-8.447146193104203
2b,-10.076368856698231,-9.833440554224094
2channel,-10.769516037258176,-9.140293373664148
2day,-9.670903748590067,-8.734828265555985
2docd,-10.076368856698231,-9.833440554224094
2e,-9.670903748590067,-8.224002641789994
2exit,-10.769516037258176,-9.140293373664148
2getha,-10.076368856698231,-9.833440554224094
2geva,-10.076368856698231,-9.833440554224094
2gthr,-10.076368856698231,-9.833440554224094
2h,-10.076368856698231,-9.833440554224094
2h15,-10.076368856698231,-9.833440554224094
2i,-10.076368856698231,-9.833440554224094
2lands,-10.769516037258176,-7.636215976887874
2marrow,-10.076368856698231,-9.833440554224094
2moro,-9.670903748590067,-9.833440554224094
2morow,-10.769516037258176,-9.140293373664148
2morro,-10.076368856698231,-9.140293373664148
2morrow,-10.076368856698231,-9.833440554224094
2morrowxxxx,-10.076368856698231,-9.833440554224094
2mrw,-10.076368856698231,-9.833440554224094
2nd,-9.670903748590067,-9.833440554224094
2nite,-9.383221676138286,-8.734828265555985
2optout,-10.769516037258176,-8.447146193104203
2p,-10.769516037258176,-8.734828265555985
2prix,-10.769516037258176,-9.140293373664148
2px,-10.769516037258176,-9.140293373664148
2rcv,-10.769516037258176,-9.140293373664148
2stop,-10.769516037258176,-8.734828265555985
2stoptx,-10.769516037258176,-9.140293373664148
2stoptxt,-10.769516037258176,-8.447146193104203
2trouvez,-10.769516037258176,-9.140293373664148
2u,-9.670903748590067,-9.833440554224094
2u2,-10.076368856698231,-9.833440554224094
2waxsto,-10.076368856698231,-9.833440554224094
2wks,-10.769516037258176,-9.140293373664148
2wt,-10.769516037258176,-8.734828265555985
2wu,-10.769516037258176,-9.140293373664148
2ème,-9.670903748590067,-7.530855461230048
30,-8.977756568030122,-8.447146193104203
300,-10.769516037258176,-8.04168108499604
3000,-10.769516037258176,-9.140293373664148
300603,-10.769516037258176,-8.734828265555985
300603t,-10.769516037258176,-9.140293373664148
300p,-10.769516037258176,-9.140293373664148
3030,-10.769516037258176,-7.7539990125442575
30apr,-10.769516037258176,-9.140293373664148
30pp,-10.769516037258176,-9.140293373664148
30s,-10.769516037258176,-9.140293373664148
31,-10.769516037258176,-8.447146193104203
310303,-10.769516037258176,-9.140293373664148
31p,-10.769516037258176,-9.140293373664148
32,-10.769516037258176,-9.140293373664148
32000,-10.769516037258176,-9.140293373664148
3230,-10.076368856698231,-9.833440554224094
326,-10.769516037258176,-8.734828265555985
33,-10.076368856698231,-8.734828265555985
350,-10.769516037258176,-8.224002641789994
3510i,-10.769516037258176,-8.224002641789994
3650,-10.769516037258176,-8.734828265555985
36504,-10.769516037258176,-8.447146193104203
3680,-10.769516037258176,-8.734828265555985
373,-10.769516037258176,-9.140293373664148
3750,-10.769516037258176,-9.140293373664148
391784,-10.769516037258176,-9.140293373664148
3aj,-10.769516037258176,-9.140293373664148
3d,-10.076368856698231,-9.833440554224094
3e,-10.076368856698231,-9.833440554224094
3g,-9.670903748590067,-8.734828265555985
3gbp,-10.769516037258176,-8.447146193104203
3hrs,-10.769516037258176,-9.140293373664148
3lions,-10.769516037258176,-9.140293373664148
3lp,-10.769516037258176,-8.734828265555985
3mins,-10.769516037258176,-8.447146193104203
3optiques,-10.076368856698231,-9.833440554224094
3qxj9,-10.769516037258176,-8.447146193104203
3rd,-9.670903748590067,-9.833440554224094
3ss,-10.769516037258176,-8.734828265555985
3uz,-10.769516037258176,-8.734828265555985
3wks,-10.076368856698231,-9.833440554224094
3x,-10.769516037258176,-9.140293373664148
3xx,-10.769516037258176,-9.140293373664148
40,-10.769516037258176,-7.7539990125442575
400,-10.769516037258176,-8.734828265555985
400mins,-10.769516037258176,-9.140293373664148
40533,-10.769516037258176,-8.734828265555985
40mph,-10.076368856698231,-9.833440554224094
420,-10.076368856698231,-9.833440554224094
4217,-10.769516037258176,-9.140293373664148
42810,-10.769516037258176,-9.140293373664148
434,-10.769516037258176,-8.224002641789994
44,-10.769516037258176,-9.140293373664148
440,-10.769516037258176,-8.224002641789994
4403ldnw1a7rw18,-10.769516037258176,-9.140293373664148
44345,-10.769516037258176,-9.140293373664148
447797706009,-10.769516037258176,-9.140293373664148
447801259231,-10.769516037258176,-8.734828265555985
448712404000,-10.769516037258176,-9.140293373664148
450,-10.769516037258176,-9.140293373664148
450ppw,-10.769516037258176,-8.734828265555985
45239,-10.769516037258176,-8.447146193104203
4719,-10.769516037258176,-9.140293373664148
4742,-10.769516037258176,-8.734828265555985
48,-10.076368856698231,-9.833440554224094
49,-10.769516037258176,-9.140293373664148
49557,-10.769516037258176,-9.140293373664148
4d,-10.076368856698231,-9.833440554224094
4e,-10.076368856698231,-9.833440554224094
4eva,-10.076368856698231,-9.833440554224094
4get,-10.076368856698231,-9.833440554224094
4got,-10.076368856698231,-9.833440554224094
4info,-10.769516037258176,-8.224002641789994
4jx,-10.769516037258176,-9.140293373664148
4mths,-10.769516037258176,-9.140293373664148
4my,-10.076368856698231,-9.833440554224094
4pew,-10.076368856698231,-9.833440554224094
4t,-10.769516037258176,-8.734828265555985
4th,-9.670903748590067,-9.833440554224094
4txt,-10.769516037258176,-9.140293373664148
4u,-9.160078124824077,-8.447146193104203
4utxt,-10.769516037258176,-9.140293373664148
4wrd,-10.076368856698231,-9.833440554224094
4xx26,-10.769516037258176,-9.140293373664148
4ème,-10.076368856698231,-9.833440554224094
50,-8.977756568030122,-6.307080029607932
500,-10.769516037258176,-6.697946338294944
5000,-10.769516037258176,-6.837708280670103
505060,-10.769516037258176,-9.140293373664148
50ea,-10.769516037258176,-9.140293373664148
50gbp,-10.769516037258176,-9.140293373664148
50p,-10.769516037258176,-8.224002641789994
50parweeksub,-10.769516037258176,-9.140293373664148
50ppm,-10.769516037258176,-9.140293373664148
50rcvd,-10.769516037258176,-9.140293373664148
523,-10.769516037258176,-9.140293373664148
5249,-10.769516037258176,-8.734828265555985
528,-10.769516037258176,-9.140293373664148
530,-9.160078124824077,-9.833440554224094
54,-10.769516037258176,-8.734828265555985
542,-10.769516037258176,-8.447146193104203
545,-10.076368856698231,-9.833440554224094
5digital,-10.076368856698231,-9.833440554224094
5free,-10.769516037258176,-9.140293373664148
5h00,-10.076368856698231,-9.833440554224094
5k,-10.769516037258176,-9.140293373664148
5p,-10.769516037258176,-8.734828265555985
5th,-9.670903748590067,-9.833440554224094
5wb,-10.769516037258176,-8.447146193104203
5we,-10.769516037258176,-8.224002641789994
600,-10.769516037258176,-8.734828265555985
60p,-10.769516037258176,-8.224002641789994
61610,-10.769516037258176,-8.734828265555985
62220cncl,-10.769516037258176,-9.140293373664148
62468,-10.769516037258176,-8.224002641789994
62735,-10.769516037258176,-9.140293373664148
630,-10.076368856698231,-9.833440554224094
63miles,-10.076368856698231,-9.833440554224094
645,-10.076368856698231,-9.833440554224094
65,-10.076368856698231,-9.833440554224094
6669,-10.769516037258176,-9.140293373664148
674,-10.769516037258176,-9.140293373664148
69101,-10.769516037258176,-9.140293373664148
69200,-10.769516037258176,-9.140293373664148
69696,-10.769516037258176,-8.734828265555985
69698,-10.769516037258176,-8.734828265555985
69866,-10.769516037258176,-9.140293373664148
69876,-10.769516037258176,-9.140293373664148
69888,-10.769516037258176,-9.140293373664148
69969,-10.769516037258176,-9.140293373664148
69988,-10.769516037258176,-9.140293373664148
6h30,-10.076368856698231,-9.833440554224094
6hl,-10.769516037258176,-9.140293373664148
6ish,-10.076368856698231,-9.833440554224094
6jours,-10.769516037258176,-8.734828265555985
6mois,-10.769516037258176,-8.734828265555985
6th,-9.670903748590067,-9.833440554224094
6zf,-10.769516037258176,-9.140293373664148
700,-9.670903748590067,-9.833440554224094
71,-10.769516037258176,-9.140293373664148
7250,-10.769516037258176,-9.140293373664148
7250i,-10.769516037258176,-8.734828265555985
731,-10.769516037258176,-9.140293373664148
75,-10.769516037258176,-9.140293373664148
750,-10.769516037258176,-7.268491196762557
75max,-10.769516037258176,-9.140293373664148
762,-10.769516037258176,-8.734828265555985
7634,-10.769516037258176,-9.140293373664148
7684,-10.769516037258176,-9.140293373664148
77,-10.769516037258176,-8.734828265555985
7732584351,-10.769516037258176,-9.140293373664148
786,-10.769516037258176,-8.447146193104203
7876150ppm,-10.769516037258176,-8.734828265555985
79,-10.769516037258176,-9.140293373664148
7h30,-10.076368856698231,-9.833440554224094
7mp,-10.769516037258176,-9.140293373664148
7oz,-10.076368856698231,-9.833440554224094
7th,-9.670903748590067,-9.833440554224094
7ws,-10.769516037258176,-9.140293373664148
7ème,-10.076368856698231,-9.833440554224094
80,-10.769516037258176,-9.140293373664148
800,-10.769516037258176,-7.268491196762557
8000930705,-10.769516037258176,-9.140293373664148
80062,-10.769516037258176,-8.447146193104203
8007,-10.769516037258176,-7.125390353121883
80082,-10.769516037258176,-8.734828265555985
80086,-10.769516037258176,-9.140293373664148
80122300p,-10.769516037258176,-9.140293373664148
80155,-10.769516037258176,-9.140293373664148
80160,-10.769516037258176,-9.140293373664148
80182,-10.769516037258176,-9.140293373664148
8027,-10.769516037258176,-9.140293373664148
80488,-10.769516037258176,-9.140293373664148
80608,-10.769516037258176,-9.140293373664148
8077,-10.769516037258176,-8.734828265555985
80878,-10.769516037258176,-8.734828265555985
81010,-10.769516037258176,-9.140293373664148
81151,-10.769516037258176,-8.734828265555985
81303,-10.769516037258176,-8.447146193104203
81618,-10.769516037258176,-9.140293373664148
820554ad0a1705572711,-10.769516037258176,-9.140293373664148
82242,-10.769516037258176,-9.140293373664148
82277,-10.769516037258176,-7.88753040516878
82468,-10.769516037258176,-9.140293373664148
83021,-10.769516037258176,-9.140293373664148
83039,-10.769516037258176,-9.140293373664148
83118,-10.769516037258176,-9.140293373664148
83222,-10.769516037258176,-9.140293373664148
83332,-10.769516037258176,-9.140293373664148
83338,-10.769516037258176,-9.140293373664148
83355,-10.769516037258176,-8.04168108499604
83370,-10.769516037258176,-9.140293373664148
83383,-10.769516037258176,-9.140293373664148
83435,-10.769516037258176,-9.140293373664148
83600,-10.769516037258176,-8.447146193104203
83738,-10.769516037258176,-9.140293373664148
84,-10.769516037258176,-9.140293373664148
84025,-10.769516037258176,-8.734828265555985
84122,-10.769516037258176,-9.140293373664148
84128,-10.769516037258176,-9.140293373664148
84199,-10.769516037258176,-9.140293373664148
84484,-10.769516037258176,-9.140293373664148
85,-10.769516037258176,-8.734828265555985
85023,-10.769516037258176,-7.88753040516878
85069,-10.769516037258176,-8.734828265555985
85222,-10.769516037258176,-9.140293373664148
85233,-10.769516037258176,-9.140293373664148
86021,-10.769516037258176,-8.447146193104203
861,-10.769516037258176,-9.140293373664148
864233,-10.769516037258176,-9.140293373664148
86688,-10.769516037258176,-7.435545281425723
86888,-10.769516037258176,-9.140293373664148
87021,-10.769516037258176,-8.447146193104203
87066,-10.769516037258176,-8.04168108499604
87070,-10.769516037258176,-9.140293373664148
87077,-10.769516037258176,-7.88753040516878
87121,-10.769516037258176,-9.140293373664148
87131,-10.769516037258176,-8.447146193104203
872,-10.769516037258176,-9.140293373664148
87239,-10.769516037258176,-9.140293373664148
87575,-10.769516037258176,-8.224002641789994
8800,-10.769516037258176,-9.140293373664148
88039,-10.769516037258176,-9.140293373664148
88066,-10.769516037258176,-9.140293373664148
88222,-10.769516037258176,-9.140293373664148
88600,-10.769516037258176,-8.447146193104203
88800,-10.769516037258176,-9.140293373664148
8883,-10.769516037258176,-9.140293373664148
88888,-10.769516037258176,-8.734828265555985
89034,-10.769516037258176,-9.140293373664148
89080,-10.769516037258176,-9.140293373664148
89123,-10.769516037258176,-9.140293373664148
89545,-10.769516037258176,-9.140293373664148
89693,-10.769516037258176,-9.140293373664148
89938,-10.769516037258176,-9.140293373664148
8ball,-10.769516037258176,-9.140293373664148
8h,-9.670903748590067,-9.833440554224094
8h30,-10.076368856698231,-9.833440554224094
8p,-10.769516037258176,-8.734828265555985
8wp,-10.769516037258176,-8.734828265555985
8ème,-9.670903748590067,-9.833440554224094
900,-9.383221676138286,-8.04168108499604
9153,-10.769516037258176,-9.140293373664148
92h,-10.769516037258176,-8.734828265555985
930,-9.670903748590067,-9.833440554224094
9307622,-10.769516037258176,-9.140293373664148
946,-10.769516037258176,-9.140293373664148
95,-10.076368856698231,-9.833440554224094
9755,-10.769516037258176,-9.140293373664148
97n7qp,-10.769516037258176,-9.140293373664148
98321561,-10.076368856698231,-9.833440554224094
99,-10.769516037258176,-9.140293373664148
9ae,-10.769516037258176,-8.447146193104203
9h,-10.076368856698231,-8.734828265555985
9ja,-10.076368856698231,-9.833440554224094
9t,-10.076368856698231,-9.833440554224094
____,-10.076368856698231,-9.833440554224094
a30,-10.076368856698231,-9.833440554224094
aa,-10.076368856698231,-9.833440554224094
aaooooright,-10.076368856698231,-9.833440554224094
aathi,-9.160078124824077,-9.833440554224094
ab,-10.769516037258176,-9.140293373664148
abandonner,-10.076368856698231,-9.833440554224094
abandonné,-10.076368856698231,-9.833440554224094
abdomen,-10.076368856698231,-9.833440554224094
abeille,-10.076368856698231,-9.833440554224094
abi,-10.076368856698231,-9.833440554224094
abiola,-10.076368856698231,-9.833440554224094
abonnement,-10.769516037258176,-9.140293373664148
abonnements,-10.769516037258176,-9.140293373664148
abonner,-10.769516037258176,-9.140293373664148
